Sample, Source,Position(mm),Absorbance, Fraction Number, Fraction Volume(ml)
685158.316,251042.447,21.71,-0.072317, , 
683399,251089.263,21.81,-0.066111, , 
682212,251087.395,21.91,-0.062216, , 
682089.974,251192.789,22,-0.060869, , 
682705.368,251220.474,22.1,-0.06265, , 
683776.184,251200.447,22.2,-0.066357, , 
685834.342,251252.5,22.3,-0.072654, , 
688035.105,251186.421,22.4,-0.080456, , 
690665.842,251143.816,22.5,-0.089426, , 
693961.921,251179.289,22.6,-0.099822, , 
697826.132,251202.895,22.7,-0.112107, , 
702280.632,251423.263,22.8,-0.124453, , 
707290.684,251671.289,22.89,-0.138232, , 
711575.974,251523.237,22.99,-0.15315, , 
716166.447,251445.895,23.09,-0.168313, , 
721159.184,251496.368,23.19,-0.183496, , 
725320.947,251286.211,23.29,-0.198327, , 
729727.974,251111.579,23.39,-0.213524, , 
734275.447,251092.868,23.49,-0.227672, , 
739170.026,251141.842,23.59,-0.242185, , 
744250.763,251254.5,23.69,-0.256591, , 
748689.368,251250.789,23.79,-0.270006, , 
752971.842,251196.816,23.88,-0.283325, , 
757111.237,251195.316,23.98,-0.295676, , 
761209.474,251165.658,24.08,-0.30809, , 
765276.684,251262.526,24.18,-0.319215, , 
768704.816,251183.605,24.28,-0.32998, , 
771803.158,251151.553,24.38,-0.33932, , 
775011.342,251191.447,24.48,-0.348298, , 
777690.605,251242.947,24.58,-0.355603, , 
781235.105,251534.658,24.68,-0.363225, , 
784340.421,251742.632,24.78,-0.370292, , 
786174.842,251567.789,24.88,-0.377113, , 
789081.184,251846.263,24.98,-0.382928, , 
789791.158,251408.184,25.08,-0.388869, , 
791442.289,251374.842,25.18,-0.393868, , 
793206.132,251358.684,25.27,-0.399022, , 
794744.868,251381.079,25.37,-0.403183, , 
795973,251339.237,25.47,-0.407033, , 
797116.474,251304.395,25.57,-0.410575, , 
798213.342,251262.263,25.67,-0.414047, , 
799480.368,251324.395,25.77,-0.41706, , 
800488,251301.737,25.87,-0.420098, , 
801568.974,251312.395,25.97,-0.423039, , 
802553.158,251354.079,26.07,-0.425427, , 
803517.5,251402.579,26.16,-0.427696, , 
804270.947,251389.632,26.26,-0.429921, , 
804605.447,251307,26.36,-0.431596, , 
805106.421,251300.053,26.46,-0.433059, , 
805652.553,251314.395,26.56,-0.434457, , 
806273.158,251339.816,26.66,-0.435962, , 
807130.447,251464.053,26.76,-0.437241, , 
807409.553,251452.237,26.86,-0.438125, , 
807414.184,251387.632,26.96,-0.438716, , 
807531.632,251339.079,27.06,-0.439479, , 
807848.711,251420.868,27.15,-0.43963, , 
807918.737,251482.342,27.25,-0.439275, , 
807379.211,251383.5,27.35,-0.438656, , 
807121.447,251386.895,27.45,-0.437907, , 
806650.5,251429.289,27.55,-0.436214, , 
805869.395,251399.158,27.65,-0.434304, , 
804798.605,251399.5,27.75,-0.431308, , 
803362.105,251464.342,27.85,-0.426707, , 
801206.105,251595.895,27.95,-0.419483, , 
797115.632,251464.789,28.05,-0.409137, , 
792090.947,251509.711,28.15,-0.394504, , 
786622.763,251901.868,28.24,-0.375408, , 
777654.079,251689.368,28.34,-0.351502, , 
766734.737,251398.211,28.44,-0.322284, , 
755148.895,251354.079,28.54,-0.288414,4,1.017
743250.474,251479.237,28.64,-0.251552, , 
730639.474,251572.263,28.74,-0.212208, , 
717599.158,251418.316,28.84,-0.173058, , 
706466.605,251874.526,28.94,-0.133792, , 
695057.289,251839.5,29.04,-0.097464, , 
683933.921,251513.395,29.14,-0.064074, , 
675035.526,251457.579,29.24,-0.035102, , 
667624.289,251494.789,29.34,-0.009924, , 
661628.658,251465.605,29.44,0.010116, , 
657114.211,251497.605,29.53,0.02581, , 
653584.184,251474.237,29.63,0.037723, , 
651030.553,251443.658,29.73,0.046259, , 
649888.921,251421.711,29.84,0.050013, , 
650163.895,251459.079,29.94,0.049395, , 
651273.184,251470.211,30.03,0.045658, , 
653305.605,251541.605,30.13,0.039285, , 
655943.658,251600.763,30.23,0.030745, , 
658973.895,251512.474,30.33,0.019583, , 
662533.026,251515.974,30.43,0.007493, , 
666634.737,251413.868,30.53,-0.007311, , 
670821.553,251419.474,30.63,-0.02135, , 
676238.947,251516.526,30.73,-0.038583, , 
681270.868,251457.237,30.83,-0.055797, , 
686169.526,251369.5,30.93,-0.072706, , 
691820.763,251416.368,31.02,-0.090745, , 
697396.395,251457.974,31.12,-0.108437, , 
702564.895,251467.395,31.22,-0.124969, , 
708252.737,251621.447,31.32,-0.141737, , 
713382.763,251526.737,31.42,-0.158826, , 
718618.658,251493.368,31.52,-0.175581, , 
723175.368,251456.053,31.62,-0.19014, , 
728160.789,251563.658,31.72,-0.204638, , 
732639.737,251537.447,31.82,-0.218672, , 
737080.579,251646.5,31.92,-0.231297, , 
741995.421,252003.158,32.01,-0.243065, , 
744458.447,251554.842,32.11,-0.25453, , 
